gene_id	ERR337909	ERR337922	ERR337912	ERR337925	ERR337961	ERR337973	ERR337937	ERR337949
EgrG_000073700	249	194	221	196	266	238	355	346
EgrG_000073900	1963	1695	1007	812	1351	1225	1790	1741
EgrG_000074000	473	376	684	574	371	309	513	571
EgrG_000074100	408	360	262	234	411	391	514	565
EgrG_000074200	636	497	379	281	479	453	438	447
EgrG_000074300	792	628	505	414	661	590	800	787
EgrG_000074400	75	78	44	44	73	66	120	117
EgrG_000074500	1104	905	530	427	746	685	704	736
EgrG_000074600	147	126	84	78	98	84	196	178
EgrG_000074700	92	91	67	65	59	55	82	85
EgrG_000074800	0	0	0	0	0	0	0	0
EgrG_000074900	0	0	0	0	0	0	0	0
EgrG_000075000	465	393	261	198	809	780	160	159
EgrG_000075100	170	115	88	83	70	69	108	92
EgrG_000075200	191	163	175	153	131	137	224	229
EgrG_000075300	458	376	229	186	425	413	396	425
EgrG_000075400	288	256	154	124	144	109	221	242
EgrG_000075500	4	2	3	3	1	1	1	3
EgrG_000075600	657	563	593	493	667	646	730	726
EgrG_000075700	153	140	80	65	62	60	153	180
EgrG_000075800	2211	1825	2535	2311	1427	1332	1923	1998
EgrG_000075900	22	15	17	16	2	5	11	11
EgrG_000076000	206	166	86	66	80	81	91	107
EgrG_000076100	1	1	5	0	2	3	0	4
EgrG_000076200	0	1	1	1	0	1	0	1
EgrG_000076300	0	4	0	5	0	1	4	8
EgrG_000076400	315	289	490	431	800	716	426	471
EgrG_000076500	261	241	220	192	380	348	209	170
EgrG_000076600	1627	1328	788	606	1228	1123	869	921
EgrG_000076700	577	469	426	372	463	440	466	453
EgrG_000076800	126	92	111	83	80	70	137	145
EgrG_000076900	3581	3113	1388	1142	1472	1404	1767	1814
EgrG_000077000	997	894	1125	954	654	665	922	922
EgrG_000077100	108	84	78	77	98	85	128	120
EgrG_000077200	392	323	291	261	305	259	467	468
EgrG_000077300	106	98	148	118	101	74	156	187
EgrG_000077700	7	8	3	10	6	6	25	24
EgrG_000077800	12	6	18	10	17	19	31	33
EgrG_000077900	2	2	1	0	1	3	2	3
EgrG_000078000	6601	5716	2737	2387	5379	5071	4353	4628
EgrG_000078100	90	95	102	82	61	71	99	112
EgrG_000078200	50	46	39	34	71	67	34	37
EgrG_000078300	671	555	933	794	824	753	859	883
EgrG_000078400	220	188	179	202	232	186	136	127
EgrG_000078500	61	73	74	59	125	113	61	56
EgrG_000078600	339	257	249	227	206	181	445	418
EgrG_000078700	271	244	81	77	45	52	82	74
EgrG_000078800	4567	3889	1902	1666	834	784	1193	1214
EgrG_000078900	611	541	385	354	546	524	495	504
EgrG_000079000	44	41	28	20	12	14	10	11
EgrG_000079100	1225	1053	1081	1036	1214	1113	1163	1217
EgrG_000079200	294	243	241	180	164	144	321	320
EgrG_000079300	509	465	419	385	482	472	515	548
EgrG_000079400	179	151	194	161	190	149	403	423
EgrG_000079500	61	65	26	18	57	62	68	91
EgrG_000079600	4	1	2	0	1	1	0	3
EgrG_000079700	579	492	348	332	404	400	476	463
EgrG_000079800	392	398	227	193	252	230	399	443
EgrG_000079900	863	723	537	468	619	573	719	787
EgrG_000080000	87	88	56	44	58	54	85	97
EgrG_000080100	380	329	693	594	487	475	481	501
EgrG_000080200	190	167	625	573	264	239	231	261
EgrG_000080300	135	136	118	107	79	70	178	180
EgrG_000080400	318	235	218	219	469	396	465	460
EgrG_000080500	426	343	399	300	435	413	441	465
EgrG_000080600	1617	1306	1863	1597	1286	1139	2051	2134
EgrG_000080700	1077	894	814	674	912	830	1140	1170
EgrG_000080800	0	0	0	0	0	1	0	0
EgrG_000080900	2	0	0	1	1	0	0	0
EgrG_000081200	0	0	0	0	0	0	0	0
EgrG_000081300	0	0	0	0	0	0	0	0
EgrG_000082200	0	0	0	0	0	0	0	0
EgrG_000082400	0	0	0	0	0	0	0	0
EgrG_000082600	392	333	147	119	131	136	92	89
EgrG_000082700	133	99	63	57	50	37	101	86
EgrG_000082900	33	26	6	12	19	22	13	21
EgrG_000083000	43	49	19	23	33	32	54	46
EgrG_000083100	2	3	2	4	0	0	0	0
EgrG_000083200	1875	1603	1528	1297	1056	999	1187	1209
EgrG_000083400	23	17	4	4	20	18	29	37
EgrG_000083500	324	278	283	278	280	252	404	427
EgrG_000083600	683	558	918	746	658	572	695	702
EgrG_000083700	3	3	0	2	2	1	2	3
EgrG_000083800	1015	804	857	712	583	465	910	926
EgrG_000083900	1430	1163	1260	1082	888	785	1320	1286
EgrG_000084000	1474	1272	929	816	1333	1234	1508	1563
EgrG_000084100	9	10	6	8	10	5	13	11
EgrG_000084200	16	7	9	10	12	15	12	29
EgrG_000084300	520	444	491	461	524	472	799	803
EgrG_000084400	307	242	348	284	252	218	440	450
EgrG_000084450	636	537	604	601	701	649	667	658
EgrG_000084500	4717	4110	3566	3115	6756	6281	5152	5373
EgrG_000084600	1387	1162	1005	873	1402	1214	1159	1185
EgrG_000084700	0	0	0	0	0	0	0	0
EgrG_000084800	265	208	143	136	192	133	172	164
EgrG_000084900	39	33	6	7	15	14	13	5
EgrG_000085000	3334	2806	2966	2643	2980	2706	2814	2907
EgrG_000085100	27	28	27	17	63	52	44	50
EgrG_000085200	554	437	742	645	292	298	538	569
EgrG_000085300	378	355	302	286	313	301	363	395
EgrG_000085400	1984	1731	854	721	2013	1838	815	841
EgrG_000085500	485	394	337	295	646	614	505	520
EgrG_000085600	8	4	2	3	2	0	6	7
EgrG_000085700	1616	1502	2185	1919	1664	1535	2405	2422
EgrG_000085800	14	11	22	27	7	5	10	6
EgrG_000085900	282	235	134	132	245	236	244	259
EgrG_000086000	522	432	587	519	781	686	1325	1417
EgrG_000086100	615	563	459	368	488	454	556	590
EgrG_000086200	1167	997	1953	1686	4497	4098	990	1041
EgrG_000086300	1721	1483	1900	1709	1288	1306	1642	1620
EgrG_000086400	958	803	723	643	917	810	1047	1025
EgrG_000086500	966	816	559	478	760	686	619	640
EgrG_000086550	109	101	139	114	190	169	217	236
EgrG_000086600	316	312	202	182	247	203	347	354
EgrG_000086700	645	562	426	339	529	473	673	686
EgrG_000086800	586	519	230	177	528	530	296	296
EgrG_000086900	403	392	216	173	364	323	289	304
EgrG_000087000	1	3	1	0	1	4	2	1
EgrG_000087100	0	0	0	0	0	0	0	0
EgrG_000087200	0	0	0	0	0	0	0	0
EgrG_000087300	60	51	77	38	64	52	81	95
EgrG_000087500	2	2	14	0	3	1	4	6
EgrG_000087600	620	541	843	769	751	694	832	845
EgrG_000087700	211	188	257	238	266	248	397	348
EgrG_000087800	1176	1077	836	673	909	894	1152	1190
EgrG_000087900	1200	1056	589	551	1228	1170	1513	1486
EgrG_000088000	1943	1701	1090	943	2097	1883	1167	1238
EgrG_000088100	401	339	287	236	421	385	512	571
EgrG_000088200	738	574	372	293	838	790	403	461
EgrG_000088300	621	531	433	401	487	412	532	532
EgrG_000088500	1082	903	1257	1128	1146	1021	1376	1376
EgrG_000088600	2464	2105	1328	1146	1626	1452	1406	1406
EgrG_000088700	2	1	1	1	1	2	0	2
