""	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"EgrG_001032900"	0.805825838397296	5.34031646080584	15.9267046530529	0.00635707926704338	0.0281984754039558
"EgrG_000419500"	-0.461281667887555	6.02270888711449	15.9254356076139	0.0063582842347675	0.0281984754039558
"EgrG_000704000"	-0.454482341445717	6.71919508005928	15.9114066887606	0.00637162486313984	0.028242876352601
"EgrG_000121800"	0.369139752232443	6.40334632064937	15.8865589139501	0.00639534418135849	0.0283332115063423
"EgrG_000539900"	-0.641209752322552	4.92054168492681	15.8771210356975	0.00640438391929094	0.0283569556305679
"EgrG_000674500"	0.663866765630318	6.86130437488796	15.8739880192609	0.00640738848936806	0.0283569556305679
"EgrG_001166500"	-0.71755714452678	7.55924998606232	15.8488478434288	0.00643156533966185	0.0284438298596937
"EgrG_001023200"	0.91057926044509	6.734087965468	15.8446942983954	0.00643557129017585	0.0284438298596937
"EgrG_000506200"	0.626387998483435	6.41922067420234	15.8431349624096	0.00643707606442855	0.0284438298596937
"EgrG_000101000"	0.406760706332782	7.53622513270321	15.8329354200873	0.00644693016132946	0.0284709686292614
"EgrG_001169500"	0.476964331851907	4.92846606231333	15.829835033711	0.00644992947966058	0.0284709686292614
"EgrG_000663500"	-0.386865797385641	5.39355325858877	15.816766741689	0.00646259198768892	0.0285120283013795
"EgrG_000958800"	-0.339920821175214	7.15893539484783	15.802546333937	0.00647640807034565	0.0285581320523974
"EgrG_000054000"	0.661957528298863	3.73276260776295	15.7847311850575	0.00649377164792993	0.0286167236769645
"EgrG_000554600"	0.770690557047556	5.62297061304069	15.7819974510373	0.00649644151365319	0.0286167236769645
"EgrG_000475900"	0.642606633113133	5.87563868597559	15.7734654852402	0.00650478345205462	0.0286386003151175
"EgrG_000828700"	0.551059255605446	10.7140429138382	15.7686432557487	0.00650950452134071	0.0286445209331196
"EgrG_000965800"	-0.363278208384595	5.44643025487826	15.7526324142582	0.00652521190097133	0.028687326159007
"EgrG_000119000"	-0.401422999779644	7.90325020968335	15.7518357660503	0.0065259947532866	0.028687326159007
"EgrG_000960400"	-0.390157200855887	7.72184233389131	15.7466228884807	0.00653112041225593	0.0286885710354058
