gene_id	ERR337909	ERR337922	ERR337912	ERR337925	ERR337937	ERR337949
EgrG_000069900	265	212	242	224	230	248
EgrG_000070300	879	745	499	407	647	644
EgrG_000070400	184	143	160	116	199	214
EgrG_000070500	75	58	71	70	113	101
EgrG_000070600	444	392	520	438	435	411
EgrG_000070700	953	840	529	453	740	691
EgrG_000070800	1	5	0	0	0	0
EgrG_000070900	397	320	389	308	483	491
EgrG_000071100	2	0	1	1	1	1
EgrG_000071200	0	0	0	0	1	1
EgrG_000071300	1356	1167	451	393	764	817
EgrG_000071400	533	460	222	193	327	376
EgrG_000071500	318	262	184	178	236	197
EgrG_000071700	374	286	180	177	310	334
EgrG_000071800	2782	2453	1286	1186	1584	1640
EgrG_000071900	220	191	6	3	2	8
EgrG_000072100	374	311	2	2	2	3
EgrG_000072200	2	1	0	0	0	0
EgrG_000072300	3	2	0	1	2	0
EgrG_000072500	8	6	8	8	16	16
EgrG_000072600	97	86	36	36	71	79
EgrG_000072700	917	743	380	353	656	663
EgrG_000072800	534	505	290	250	329	354
EgrG_000072900	0	0	0	0	0	0
EgrG_000073000	347	299	95	93	207	219
EgrG_000073100	45	51	11	12	20	21
EgrG_000073200	598	435	229	188	339	377
EgrG_000073300	1	0	1	1	1	1
EgrG_000073400	0	0	0	0	0	0
EgrG_000073500	87	56	45	55	116	103
EgrG_000073600	28	38	61	40	84	95
EgrG_000073700	249	194	221	196	355	346
EgrG_000073900	1963	1695	1007	812	1790	1741
EgrG_000074000	473	376	684	574	513	571
EgrG_000074100	408	360	262	234	514	565
EgrG_000074200	636	497	379	281	438	447
EgrG_000074300	792	628	505	414	800	787
EgrG_000074400	75	78	44	44	120	117
EgrG_000074500	1104	905	530	427	704	736
EgrG_000074600	147	126	84	78	196	178
EgrG_000074700	92	91	67	65	82	85
EgrG_000074800	0	0	0	0	0	0
EgrG_000074900	0	0	0	0	0	0
EgrG_000075000	465	393	261	198	160	159
EgrG_000075100	170	115	88	83	108	92
EgrG_000075200	191	163	175	153	224	229
EgrG_000075300	458	376	229	186	396	425
EgrG_000075400	288	256	154	124	221	242
EgrG_000075500	4	2	3	3	1	3
EgrG_000075600	657	563	593	493	730	726
EgrG_000075700	153	140	80	65	153	180
EgrG_000075800	2211	1825	2535	2311	1923	1998
EgrG_000075900	22	15	17	16	11	11
EgrG_000076000	206	166	86	66	91	107
EgrG_000076100	1	1	5	0	0	4
EgrG_000076200	0	1	1	1	0	1
EgrG_000076300	0	4	0	5	4	8
EgrG_000076400	315	289	490	431	426	471
EgrG_000076500	261	241	220	192	209	170
EgrG_000076600	1627	1328	788	606	869	921
EgrG_000076700	577	469	426	372	466	453
EgrG_000076800	126	92	111	83	137	145
EgrG_000076900	3581	3113	1388	1142	1767	1814
EgrG_000077000	997	894	1125	954	922	922
EgrG_000077100	108	84	78	77	128	120
EgrG_000077200	392	323	291	261	467	468
EgrG_000077300	106	98	148	118	156	187
EgrG_000077700	7	8	3	10	25	24
EgrG_000077800	12	6	18	10	31	33
EgrG_000077900	2	2	1	0	2	3
EgrG_000078000	6601	5716	2737	2387	4353	4628
EgrG_000078100	90	95	102	82	99	112
EgrG_000078200	50	46	39	34	34	37
EgrG_000078300	671	555	933	794	859	883
EgrG_000078400	220	188	179	202	136	127
EgrG_000078500	61	73	74	59	61	56
EgrG_000078600	339	257	249	227	445	418
EgrG_000078700	271	244	81	77	82	74
EgrG_000078800	4567	3889	1902	1666	1193	1214
EgrG_000078900	611	541	385	354	495	504
EgrG_000079000	44	41	28	20	10	11
EgrG_000079100	1225	1053	1081	1036	1163	1217
EgrG_000079200	294	243	241	180	321	320
EgrG_000079300	509	465	419	385	515	548
EgrG_000079400	179	151	194	161	403	423
EgrG_000079500	61	65	26	18	68	91
EgrG_000079600	4	1	2	0	0	3
EgrG_000079700	579	492	348	332	476	463
EgrG_000079800	392	398	227	193	399	443
EgrG_000079900	863	723	537	468	719	787
EgrG_000080000	87	88	56	44	85	97
EgrG_000080100	380	329	693	594	481	501
EgrG_000080200	190	167	625	573	231	261
EgrG_000080300	135	136	118	107	178	180
EgrG_000080400	318	235	218	219	465	460
